                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                0.95563,                 3.1162,                 1.4605,                 0.0039,                0.95238,                0.16698,                0.07811,                 1.0025,                 3.3764,                 1.6245,              8.574e-05,              8.574e-05,              8.574e-05
                      2,                0.90318,                 2.8311,                 1.4502,                  0.004,                0.95238,                0.35057,                0.22101,                 1.0941,                 3.4518,                 1.8307,             0.00017657,             0.00017657,             0.00017657
                      3,                0.80456,                 2.3611,                 1.3758,                0.00399,                0.95238,                0.43933,                0.31216,                 1.0492,                 3.2311,                 1.7094,             0.00025751,             0.00025751,             0.00025751
                      4,                0.74925,                 2.1382,                 1.3417,                0.00397,                0.95238,                0.47767,                0.32168,                 1.2087,                 3.1933,                 1.8681,             0.00032853,             0.00032853,             0.00032853
                      5,                0.83793,                 1.8017,                 1.3894,                0.00425,                0.95238,                0.58603,                0.29952,                 1.3586,                  3.112,                 2.0375,             0.00038966,             0.00038966,             0.00038966
                      6,                0.77594,                 1.6482,                 1.3567,                0.86027,                0.16667,                0.67163,                0.40129,                 1.2793,                 2.8832,                  1.876,             0.00044088,             0.00044088,             0.00044088
                      7,                 0.7791,                 1.6186,                 1.3139,                0.58029,                0.57001,                0.70083,                0.47449,                 1.2559,                 2.5721,                  1.868,              0.0004822,              0.0004822,              0.0004822
                      8,                0.77091,                 1.4788,                 1.2949,                0.60126,                0.57731,                0.69989,                0.36196,                 1.3144,                 2.7269,                 1.8188,             0.00051362,             0.00051362,             0.00051362
                      9,                 0.7617,                 1.5279,                 1.3089,                0.84954,                0.70921,                0.78753,                0.52412,                 1.3527,                 2.1737,                 2.0096,             0.00053513,             0.00053513,             0.00053513
                     10,                 0.6977,                 1.3335,                 1.2317,                0.82441,                0.78005,                0.77908,                0.61994,                 1.0345,                 2.1038,                 1.6468,             0.00054674,             0.00054674,             0.00054674
                     11,                0.72524,                 2.0905,                 1.4218,                0.82623,                0.69315,                0.66195,                0.51715,                 1.1053,                   2.31,                 1.6938,             0.00054845,             0.00054845,             0.00054845
                     12,                0.68615,                 1.9993,                 1.3883,                0.84025,                0.65889,                0.73963,                0.56994,                 1.2483,                 2.3942,                 1.8292,             0.00054025,             0.00054025,             0.00054025
                     13,                0.68963,                 1.9782,                 1.3587,                0.86298,                 0.6187,                0.74699,                0.58078,                  1.198,                 2.3877,                 1.7401,             0.00052216,             0.00052216,             0.00052216
                     14,                0.61675,                  1.784,                 1.3249,                0.71578,                0.76472,                0.81993,                0.64191,                 1.2312,                 2.2347,                 1.8825,             0.00049416,             0.00049416,             0.00049416
                     15,                 0.6188,                 1.7273,                 1.3203,                0.85016,                0.70602,                0.81367,                0.67876,                 1.0824,                 1.9708,                 1.6795,              0.0004387,              0.0004387,              0.0004387
                     16,                0.62524,                 1.6463,                 1.2664,                0.77342,                0.81759,                0.82705,                0.60447,                 1.1748,                 2.0709,                 1.7111,             0.00036797,             0.00036797,             0.00036797
                     17,                0.63015,                 1.6132,                 1.3695,                0.80984,                0.87694,                0.84451,                0.58558,                 1.2366,                 2.1273,                 1.7698,             0.00029723,             0.00029723,             0.00029723
                     18,                0.63527,                  1.614,                 1.3598,                0.84652,                0.82038,                0.84351,                 0.6116,                 1.1507,                  2.095,                 1.6808,              0.0002265,              0.0002265,              0.0002265
                     19,                0.61579,                 1.5579,                 1.3206,                0.79464,                0.84263,                0.83317,                0.60782,                 1.1191,                 2.0028,                  1.606,             0.00015576,             0.00015576,             0.00015576
                     20,                 0.5692,                 1.4963,                 1.3095,                0.75908,                0.80077,                0.82823,                0.63488,                 1.0825,                  1.929,                 1.5678,             8.5026e-05,             8.5026e-05,             8.5026e-05
